# Indexación de las piezas: (ancho, largo)
# Pieza #0 con dimensiones (10, 10)
# Pieza #1 con dimensiones (1, 10)
# Pieza #2 con dimensiones (9, 10)
# Pieza #3 con dimensiones (2, 10)
# Pieza #4 con dimensiones (8, 10)
# Pieza #5 con dimensiones (3, 10)
# Pieza #6 con dimensiones (7, 10)
# Pieza #7 con dimensiones (4, 10)
# Pieza #8 con dimensiones (6, 10)
# Pieza #9 con dimensiones (5, 10)
# Pieza #10 con dimensiones (1, 1)
# Pieza #11 con dimensiones (9, 1)
# Pieza #12 con dimensiones (2, 1)
# Pieza #13 con dimensiones (8, 1)
# Pieza #14 con dimensiones (3, 1)
# Pieza #15 con dimensiones (7, 1)
# Pieza #16 con dimensiones (4, 1)
# Pieza #17 con dimensiones (6, 1)
# Pieza #18 con dimensiones (5, 1)
# Pieza #19 con dimensiones (9, 9)
# Pieza #20 con dimensiones (2, 9)
# Pieza #21 con dimensiones (8, 9)
# Pieza #22 con dimensiones (3, 9)
# Pieza #23 con dimensiones (7, 9)
# Pieza #24 con dimensiones (4, 9)
# Pieza #25 con dimensiones (6, 9)
# Pieza #26 con dimensiones (5, 9)
# Pieza #27 con dimensiones (2, 2)
# Pieza #28 con dimensiones (8, 2)
# Pieza #29 con dimensiones (3, 2)
# Pieza #30 con dimensiones (7, 2)
# Pieza #31 con dimensiones (4, 2)
# Pieza #32 con dimensiones (6, 2)
# Pieza #33 con dimensiones (5, 2)
# Pieza #34 con dimensiones (8, 8)
# Pieza #35 con dimensiones (3, 8)
# Pieza #36 con dimensiones (7, 8)
# Pieza #37 con dimensiones (4, 8)
# Pieza #38 con dimensiones (6, 8)
# Pieza #39 con dimensiones (5, 8)
# Pieza #40 con dimensiones (3, 3)
# Pieza #41 con dimensiones (7, 3)
# Pieza #42 con dimensiones (4, 3)
# Pieza #43 con dimensiones (6, 3)
# Pieza #44 con dimensiones (5, 3)
# Pieza #45 con dimensiones (7, 7)
# Pieza #46 con dimensiones (4, 7)
# Pieza #47 con dimensiones (6, 7)
# Pieza #48 con dimensiones (5, 7)
# Pieza #49 con dimensiones (4, 4)
# Pieza #50 con dimensiones (6, 4)
# Pieza #51 con dimensiones (5, 4)
# Pieza #52 con dimensiones (6, 6)
# Pieza #53 con dimensiones (5, 6)
# Pieza #54 con dimensiones (5, 5)

# Parámetro platos
param Platos 54;

# Demanda
set JJ 33 18;
param Dem[33] 6;
param Dem[18] 5;

# Parámetro a
param a[1,0,1,1] 1;
param a[1,0,1,2] 1;
param a[1,0,2,3] 1;
param a[1,0,2,4] 1;
param a[1,0,3,5] 1;
param a[1,0,3,6] 1;
param a[1,0,4,7] 1;
param a[1,0,4,8] 1;
param a[1,0,5,9] 2;
param a[1,0,6,8] 1;
param a[1,0,6,7] 1;
param a[1,0,7,6] 1;
param a[1,0,7,5] 1;
param a[1,0,8,4] 1;
param a[1,0,8,3] 1;
param a[1,0,9,2] 1;
param a[1,0,9,1] 1;
param a[0,0,1,1] 1;
param a[0,0,1,2] 1;
param a[0,0,2,3] 1;
param a[0,0,2,4] 1;
param a[0,0,3,5] 1;
param a[0,0,3,6] 1;
param a[0,0,4,7] 1;
param a[0,0,4,8] 1;
param a[0,0,5,9] 2;
param a[0,0,6,8] 1;
param a[0,0,6,7] 1;
param a[0,0,7,6] 1;
param a[0,0,7,5] 1;
param a[0,0,8,4] 1;
param a[0,0,8,3] 1;
param a[0,0,9,2] 1;
param a[0,0,9,1] 1;
param a[0,1,1,10] 1;
param a[0,1,1,11] 1;
param a[0,1,2,12] 1;
param a[0,1,2,13] 1;
param a[0,1,3,14] 1;
param a[0,1,3,15] 1;
param a[0,1,4,16] 1;
param a[0,1,4,17] 1;
param a[0,1,5,18] 2;
param a[0,1,6,17] 1;
param a[0,1,6,16] 1;
param a[0,1,7,15] 1;
param a[0,1,7,14] 1;
param a[0,1,8,13] 1;
param a[0,1,8,12] 1;
param a[0,1,9,11] 1;
param a[0,1,9,10] 1;
param a[1,2,1,1] 1;
param a[1,2,1,4] 1;
param a[1,2,2,3] 1;
param a[1,2,2,6] 1;
param a[1,2,3,5] 1;
param a[1,2,3,8] 1;
param a[1,2,4,7] 1;
param a[1,2,4,9] 1;
param a[1,2,5,9] 1;
param a[1,2,5,7] 1;
param a[1,2,6,8] 1;
param a[1,2,6,5] 1;
param a[1,2,7,6] 1;
param a[1,2,7,3] 1;
param a[1,2,8,4] 1;
param a[1,2,8,1] 1;
param a[0,2,1,11] 1;
param a[0,2,1,19] 1;
param a[0,2,2,20] 1;
param a[0,2,2,21] 1;
param a[0,2,3,22] 1;
param a[0,2,3,23] 1;
param a[0,2,4,24] 1;
param a[0,2,4,25] 1;
param a[0,2,5,26] 2;
param a[0,2,6,25] 1;
param a[0,2,6,24] 1;
param a[0,2,7,23] 1;
param a[0,2,7,22] 1;
param a[0,2,8,21] 1;
param a[0,2,8,20] 1;
param a[0,2,9,19] 1;
param a[0,2,9,11] 1;
param a[1,3,1,1] 2;
param a[0,3,1,12] 1;
param a[0,3,1,20] 1;
param a[0,3,2,27] 1;
param a[0,3,2,28] 1;
param a[0,3,3,29] 1;
param a[0,3,3,30] 1;
param a[0,3,4,31] 1;
param a[0,3,4,32] 1;
param a[0,3,5,33] 2;
param a[0,3,6,32] 1;
param a[0,3,6,31] 1;
param a[0,3,7,30] 1;
param a[0,3,7,29] 1;
param a[0,3,8,28] 1;
param a[0,3,8,27] 1;
param a[0,3,9,20] 1;
param a[0,3,9,12] 1;
param a[1,4,1,1] 1;
param a[1,4,1,6] 1;
param a[1,4,2,3] 1;
param a[1,4,2,8] 1;
param a[1,4,3,5] 1;
param a[1,4,3,9] 1;
param a[1,4,4,7] 2;
param a[1,4,5,9] 1;
param a[1,4,5,5] 1;
param a[1,4,6,8] 1;
param a[1,4,6,3] 1;
param a[1,4,7,6] 1;
param a[1,4,7,1] 1;
param a[0,4,1,13] 1;
param a[0,4,1,21] 1;
param a[0,4,2,28] 1;
param a[0,4,2,34] 1;
param a[0,4,3,35] 1;
param a[0,4,3,36] 1;
param a[0,4,4,37] 1;
param a[0,4,4,38] 1;
param a[0,4,5,39] 2;
param a[0,4,6,38] 1;
param a[0,4,6,37] 1;
param a[0,4,7,36] 1;
param a[0,4,7,35] 1;
param a[0,4,8,34] 1;
param a[0,4,8,28] 1;
param a[0,4,9,21] 1;
param a[0,4,9,13] 1;
param a[1,5,1,1] 1;
param a[1,5,1,3] 1;
param a[1,5,2,3] 1;
param a[1,5,2,1] 1;
param a[0,5,1,14] 1;
param a[0,5,1,22] 1;
param a[0,5,2,29] 1;
param a[0,5,2,35] 1;
param a[0,5,3,40] 1;
param a[0,5,3,41] 1;
